rep_id,learners,time,langval_all,prop_biased
127,MAP,150 iterations,0.8018,0% biased agents
124,MAP,200 iterations,0.8188,0% biased agents
122,MAP,200 iterations,0.8794,0% biased agents
120,MAP,200 iterations,0.8197,0% biased agents
125,MAP,200 iterations,0.7203,0% biased agents
137,MAP,50 iterations,0.7601,0% biased agents
129,MAP,100 iterations,0.8238,0% biased agents
121,MAP,150 iterations,0.7358,0% biased agents
133,MAP,50 iterations,0.7837,0% biased agents
134,MAP,50 iterations,0.8635,0% biased agents
135,MAP,50 iterations,0.7771,0% biased agents
131,MAP,100 iterations,0.859,0% biased agents
136,MAP,50 iterations,0.8657,0% biased agents
128,MAP,100 iterations,0.7379,0% biased agents
126,MAP,150 iterations,0.8019,0% biased agents
130,MAP,150 iterations,0.8414,0% biased agents
127,MAP,200 iterations,0.7986,0% biased agents
132,MAP,100 iterations,0.8384,0% biased agents
123,MAP,200 iterations,0.8219,0% biased agents
137,MAP,100 iterations,0.769,0% biased agents
118,MAP,200 iterations,0.8212,0% biased agents
121,MAP,200 iterations,0.7421,0% biased agents
138,MAP,50 iterations,0.8393,0% biased agents
129,MAP,150 iterations,0.8306,0% biased agents
134,MAP,100 iterations,0.8657,0% biased agents
136,MAP,100 iterations,0.8693,0% biased agents
133,MAP,100 iterations,0.797,0% biased agents
139,MAP,50 iterations,0.841,0% biased agents
135,MAP,100 iterations,0.7774,0% biased agents
140,MAP,50 iterations,0.8156,0% biased agents
131,MAP,150 iterations,0.8612,0% biased agents
128,MAP,150 iterations,0.7317,0% biased agents
126,MAP,200 iterations,0.804,0% biased agents
137,MAP,150 iterations,0.7564,0% biased agents
130,MAP,200 iterations,0.8377,0% biased agents
132,MAP,150 iterations,0.8334,0% biased agents
141,MAP,50 iterations,0.8638,0% biased agents
140,MAP,100 iterations,0.8129,0% biased agents
138,MAP,100 iterations,0.8382,0% biased agents
143,MAP,50 iterations,0.8558,0% biased agents
142,MAP,50 iterations,0.83,0% biased agents
136,MAP,150 iterations,0.8652,0% biased agents
134,MAP,150 iterations,0.8719,0% biased agents
135,MAP,150 iterations,0.7707,0% biased agents
129,MAP,200 iterations,0.8312,0% biased agents
139,MAP,100 iterations,0.8377,0% biased agents
133,MAP,150 iterations,0.797,0% biased agents
137,MAP,200 iterations,0.7592,0% biased agents
131,MAP,200 iterations,0.8605,0% biased agents
146,MAP,50 iterations,0.8233,0% biased agents
140,MAP,150 iterations,0.8106,0% biased agents
144,MAP,50 iterations,0.7531,0% biased agents
132,MAP,200 iterations,0.8289,0% biased agents
145,MAP,50 iterations,0.8042,0% biased agents
128,MAP,200 iterations,0.7356,0% biased agents
138,MAP,150 iterations,0.8326,0% biased agents
139,MAP,150 iterations,0.8355,0% biased agents
141,MAP,100 iterations,0.8539,0% biased agents
143,MAP,100 iterations,0.8586,0% biased agents
148,MAP,50 iterations,0.8133,0% biased agents
136,MAP,200 iterations,0.8664,0% biased agents
142,MAP,100 iterations,0.8289,0% biased agents
134,MAP,200 iterations,0.8686,0% biased agents
133,MAP,200 iterations,0.792,0% biased agents
140,MAP,200 iterations,0.809,0% biased agents
135,MAP,200 iterations,0.7721,0% biased agents
146,MAP,100 iterations,0.8355,0% biased agents
147,MAP,50 iterations,0.7706,0% biased agents
150,MAP,50 iterations,0.8284,0% biased agents
141,MAP,150 iterations,0.8574,0% biased agents
139,MAP,200 iterations,0.838,0% biased agents
143,MAP,150 iterations,0.8588,0% biased agents
149,MAP,50 iterations,0.8333,0% biased agents
144,MAP,100 iterations,0.7507,0% biased agents
148,MAP,100 iterations,0.8113,0% biased agents
142,MAP,150 iterations,0.826,0% biased agents
151,MAP,50 iterations,0.7947,0% biased agents
145,MAP,100 iterations,0.7921,0% biased agents
152,MAP,50 iterations,0.7905,0% biased agents
138,MAP,200 iterations,0.8325,0% biased agents
