"sampling_stratregy","agent_number","mean_delta","time_max","prop_biased"
"SAM",101,0.36241610738255,"150","0% biased agents"
"SAM",102,0.463087248322148,"150","0% biased agents"
"MAP",2,0.343434343434343,"100","0% biased agents"
"MAP",3,0.363636363636364,"100","0% biased agents"
"MAP",4,0.393939393939394,"100","0% biased agents"
"MAP",5,0.333333333333333,"100","0% biased agents"
"MAP",6,0.202020202020202,"100","0% biased agents"
"MAP",7,0.202020202020202,"100","0% biased agents"
"MAP",8,0.343434343434343,"100","0% biased agents"
"MAP",9,0.141414141414141,"100","0% biased agents"
"MAP",10,0.222222222222222,"100","0% biased agents"
"MAP",11,0.262626262626263,"100","0% biased agents"
"MAP",12,0.363636363636364,"100","0% biased agents"
"MAP",13,0.121212121212121,"100","0% biased agents"
"MAP",14,0.202020202020202,"100","0% biased agents"
"MAP",15,0.141414141414141,"100","0% biased agents"
"MAP",16,0.171717171717172,"100","0% biased agents"
"MAP",17,0.313131313131313,"100","0% biased agents"
"MAP",18,0.282828282828283,"100","0% biased agents"
"MAP",19,0.222222222222222,"100","0% biased agents"
"MAP",20,0.434343434343434,"100","0% biased agents"
"MAP",21,0.282828282828283,"100","0% biased agents"
"MAP",22,0.323232323232323,"100","0% biased agents"
"MAP",23,0.313131313131313,"100","0% biased agents"
"MAP",24,0.454545454545455,"100","0% biased agents"
"MAP",25,0.363636363636364,"100","0% biased agents"
"MAP",26,0.282828282828283,"100","0% biased agents"
"MAP",27,0.424242424242424,"100","0% biased agents"
"MAP",28,0.333333333333333,"100","0% biased agents"
"MAP",29,0.535353535353535,"100","0% biased agents"
"MAP",30,0.181818181818182,"100","0% biased agents"
"MAP",31,0.222222222222222,"100","0% biased agents"
"MAP",32,0.141414141414141,"100","0% biased agents"
"MAP",33,0.161616161616162,"100","0% biased agents"
"MAP",34,0.0404040404040404,"100","0% biased agents"
"MAP",35,0.282828282828283,"100","0% biased agents"
"MAP",36,0.202020202020202,"100","0% biased agents"
"MAP",37,0.535353535353535,"100","0% biased agents"
"MAP",38,0.343434343434343,"100","0% biased agents"
"MAP",39,0.181818181818182,"100","0% biased agents"
"MAP",40,0.262626262626263,"100","0% biased agents"
"MAP",41,0.262626262626263,"100","0% biased agents"
"MAP",42,0.464646464646465,"100","0% biased agents"
"MAP",43,0.111111111111111,"100","0% biased agents"
"MAP",44,0.242424242424242,"100","0% biased agents"
"MAP",45,0.141414141414141,"100","0% biased agents"
"MAP",46,0.444444444444444,"100","0% biased agents"
"MAP",47,0.444444444444444,"100","0% biased agents"
"MAP",48,0.424242424242424,"100","0% biased agents"
"MAP",49,0.575757575757576,"100","0% biased agents"
"MAP",50,0.202020202020202,"100","0% biased agents"
"MAP",51,0.222222222222222,"100","0% biased agents"
"MAP",52,0.383838383838384,"100","0% biased agents"
"MAP",53,0.343434343434343,"100","0% biased agents"
"MAP",54,0.494949494949495,"100","0% biased agents"
"MAP",55,0.434343434343434,"100","0% biased agents"
"MAP",56,0.212121212121212,"100","0% biased agents"
"MAP",57,0.313131313131313,"100","0% biased agents"
"MAP",58,0.424242424242424,"100","0% biased agents"
"MAP",59,0.121212121212121,"100","0% biased agents"
"MAP",60,0.222222222222222,"100","0% biased agents"
"MAP",61,0.444444444444444,"100","0% biased agents"
"MAP",62,0.323232323232323,"100","0% biased agents"
"MAP",63,0.242424242424242,"100","0% biased agents"
"MAP",64,0.212121212121212,"100","0% biased agents"
"MAP",65,0.262626262626263,"100","0% biased agents"
"MAP",66,0.181818181818182,"100","0% biased agents"
"MAP",67,0.454545454545455,"100","0% biased agents"
"MAP",68,0.181818181818182,"100","0% biased agents"
"MAP",69,0.292929292929293,"100","0% biased agents"
"MAP",70,0.161616161616162,"100","0% biased agents"
"MAP",71,0.464646464646465,"100","0% biased agents"
"MAP",72,0.141414141414141,"100","0% biased agents"
"MAP",73,0.383838383838384,"100","0% biased agents"
"MAP",74,0.222222222222222,"100","0% biased agents"
"MAP",75,0.202020202020202,"100","0% biased agents"
"MAP",76,0.141414141414141,"100","0% biased agents"
"MAP",77,0.202020202020202,"100","0% biased agents"
"MAP",78,0.202020202020202,"100","0% biased agents"
"MAP",79,0.151515151515152,"100","0% biased agents"
"MAP",80,0.0202020202020202,"100","0% biased agents"
"MAP",81,0.111111111111111,"100","0% biased agents"
"MAP",82,0.0808080808080808,"100","0% biased agents"
"MAP",83,0.121212121212121,"100","0% biased agents"
"MAP",84,0.262626262626263,"100","0% biased agents"
"MAP",85,0.393939393939394,"100","0% biased agents"
"MAP",86,0.515151515151515,"100","0% biased agents"
"MAP",87,0.363636363636364,"100","0% biased agents"
